date,open,high,low,close
2006-01-26,66.26,65.85,66.9,65.31
2006-01-27,67.76,66.49,67.95,66.35
2006-01-30,68.35,67.85,68.45,67.25
2006-01-31,67.92,68.4,68.65,67.35
2006-02-01,66.56,67.8,69.0,66.3
2006-02-02,64.68,66.2,67.19,64.4
2006-02-03,65.37,64.7,65.4,63.95
2006-02-06,65.11,65.6,66.62,64.9
2006-02-07,63.09,65.1,65.1,63.0
2006-02-08,62.55,63.19,63.49,62.3
2006-02-09,62.62,62.57,63.7,62.34
2006-02-10,61.84,62.64,63.0,61.2
2006-02-13,61.24,62.1,62.18,60.85
2006-02-14,59.57,61.18,61.3,59.5
2006-02-15,57.65,59.49,60.05,57.6
2006-02-16,58.46,57.7,58.8,57.55
2006-02-17,59.88,58.8,60.0,58.68
2006-02-21,61.1,61.25,61.5,60.5
2006-02-22,61.01,62.5,62.59,60.52
2006-02-23,60.54,60.91,61.15,59.7
2006-02-24,62.91,60.5,63.25,60.47
2006-02-27,61.0,62.8,62.85,60.85
2006-02-28,61.41,60.9,61.5,60.3
2006-03-01,61.97,61.58,62.35,61.46
2006-03-02,63.36,61.96,63.55,61.8
2006-03-03,63.67,63.53,63.79,62.7
2006-03-06,62.41,63.75,63.92,61.8
2006-03-07,61.58,62.32,62.75,61.1
2006-03-08,60.02,61.55,61.68,59.25
2006-03-09,60.47,60.01,60.9,59.55
2006-03-10,59.96,60.56,60.78,59.7
2006-03-13,61.77,60.05,61.9,59.58
2006-03-14,63.1,61.75,63.37,61.27
2006-03-15,62.17,62.94,63.2,62.0
2006-03-16,63.58,62.05,63.9,61.65
2006-03-17,62.77,63.45,63.7,62.7
2006-03-20,60.42,62.75,62.99,60.25
2006-03-21,60.57,60.41,61.0,59.6
2006-03-22,61.77,62.28,62.85,61.61
2006-03-23,63.91,61.9,64.0,61.87
2006-03-24,64.26,63.87,64.75,63.4
2006-03-27,64.16,64.4,64.55,63.45
2006-03-28,66.07,64.22,66.2,64.05
2006-03-29,66.45,66.1,66.7,65.58
2006-03-30,67.15,66.51,67.3,66.05
2006-03-31,66.63,67.05,67.14,65.6
2006-04-03,66.74,66.25,67.9,66.2
2006-04-04,66.23,66.65,66.65,65.6
2006-04-05,67.07,66.2,67.25,65.74
2006-04-06,67.94,67.11,68.2,67.1
2006-04-07,67.39,67.85,67.85,66.65
2006-04-10,68.74,67.4,68.95,67.22
2006-04-11,68.98,68.67,69.45,68.0
2006-04-12,68.62,68.95,69.6,68.45
2006-04-13,69.32,68.52,69.4,67.87
2006-04-17,70.4,69.55,70.45,69.3
2006-04-18,71.35,70.27,71.6,70.15
2006-04-19,72.17,71.29,72.4,70.7
2006-04-20,71.95,72.03,72.49,70.7
2006-04-21,75.17,73.5,75.35,72.73
2006-04-24,73.33,75.35,75.35,72.95
2006-04-25,72.88,73.28,74.0,71.75
2006-04-26,71.93,72.85,73.22,71.85
2006-04-27,70.97,71.93,72.01,70.75
2006-04-28,71.88,70.99,72.65,70.49
2006-05-01,73.7,71.7,73.75,71.42
2006-05-02,74.61,73.8,74.9,73.5
2006-05-03,72.28,74.63,74.99,72.25
2006-05-04,69.94,72.17,72.47,69.3
2006-05-05,70.19,70.2,70.7,69.7
2006-05-08,69.77,70.05,70.56,68.25
2006-05-09,70.69,69.84,71.45,69.62
2006-05-10,72.13,70.65,72.2,69.65
2006-05-11,73.32,72.13,73.9,71.98
2006-05-12,72.04,73.1,73.35,71.65
2006-05-15,69.41,71.9,72.04,69.35
2006-05-16,69.53,69.21,70.7,68.51
2006-05-17,68.69,69.35,70.1,68.2
2006-05-18,69.45,68.65,69.5,67.85
2006-05-19,68.53,69.45,69.93,68.01
2006-05-22,69.23,68.52,69.9,67.42
2006-05-23,71.76,70.05,72.15,69.85
2006-05-24,69.86,71.58,71.65,69.8
2006-05-25,71.32,69.91,71.38,69.36
2006-05-26,71.37,71.3,71.9,70.86
2006-05-30,72.03,71.31,72.75,71.2
2006-05-31,71.29,71.95,72.16,70.05
2006-06-01,70.34,71.26,71.9,70.05
2006-06-02,72.33,70.25,72.7,70.07
2006-06-05,72.6,72.7,73.84,72.1
2006-06-06,72.5,72.64,72.9,71.35
2006-06-07,70.82,72.4,72.58,70.5
2006-06-08,70.35,70.86,70.9,69.1
2006-06-09,71.63,70.28,71.8,69.95
2006-06-12,70.36,71.6,72.32,70.2
2006-06-13,68.56,70.24,70.43,68.3
2006-06-14,69.14,68.45,69.4,68.1
2006-06-15,69.5,69.03,70.25,69.0
2006-06-16,69.88,69.58,70.45,68.8
2006-06-19,68.98,69.87,70.11,68.55
2006-06-20,68.94,69.01,69.89,68.55
2006-06-21,70.33,69.34,70.75,68.8
2006-06-22,70.84,70.34,71.2,70.05
2006-06-23,70.87,70.85,71.3,70.28
2006-06-26,71.8,70.86,71.9,70.4
2006-06-27,71.92,71.74,72.5,71.6
2006-06-28,72.19,71.91,72.77,71.6
2006-06-29,73.52,72.2,73.55,72.15
2006-06-30,73.93,73.51,74.15,73.35
2006-07-05,75.19,73.95,75.4,73.38
2006-07-06,75.14,75.2,75.35,74.3
2006-07-07,74.09,75.02,75.78,73.85
2006-07-10,73.61,73.94,73.95,72.9
2006-07-11,74.16,73.51,74.6,73.34
2006-07-12,74.95,74.03,75.05,73.8
2006-07-13,76.7,74.98,76.85,74.91
2006-07-14,77.03,76.67,78.4,76.67
2006-07-17,75.3,76.91,77.74,75.2
2006-07-18,73.54,75.2,76.55,73.5
2006-07-19,72.66,73.9,74.11,71.65
2006-07-20,73.08,73.0,73.5,72.05
2006-07-21,74.43,74.07,75.2,73.9
2006-07-24,75.05,74.45,75.2,73.5
2006-07-25,73.75,75.1,75.78,73.55
2006-07-26,73.94,73.8,74.8,73.52
2006-07-27,74.54,73.9,74.92,73.72
2006-07-28,73.24,74.5,74.85,72.8
2006-07-31,74.4,73.5,74.48,72.77
2006-08-01,74.91,74.4,75.45,74.02
2006-08-02,75.81,74.92,76.5,74.9
2006-08-03,75.46,76.0,76.19,74.65
2006-08-04,74.76,75.6,75.68,74.15
2006-08-07,76.98,74.78,77.3,74.55
2006-08-08,76.31,77.05,77.45,76.15
2006-08-09,76.35,76.33,77.4,76.05
2006-08-10,74.0,76.25,76.52,73.9
