date,open,high,low,close
1991-01-28,1559.44,1566.14,1547.98,1565.69
1991-01-29,1567.42,1567.42,1548.43,1554.49
1991-01-30,1562.44,1584.6,1562.33,1582.45
1991-01-31,1595.54,1600.13,1566.2,1580.67
1991-02-01,1577.01,1587.33,1565.89,1578.08
1991-02-04,1581.29,1589.83,1576.8,1581.73
1991-02-05,1602.47,1608.48,1595.79,1606.38
1991-02-06,1601.6,1602.11,1588.57,1598.11
1991-02-07,1610.69,1610.69,1591.98,1598.22
1991-02-08,1595.08,1623.58,1592.03,1622.75
1991-02-11,1628.86,1641.6,1628.86,1637.29
1991-02-12,1647.5,1649.36,1622.31,1626.24
1991-02-13,1624.24,1642.21,1622.35,1635.84
1991-02-14,1643.69,1661.27,1640.57,1652.68
1991-02-15,1650.77,1703.47,1650.77,1670.39
1991-02-18,1675.8,1701.69,1674.38,1694.96
1991-02-19,1704.48,1719.54,1697.67,1700.93
1991-02-20,1683.94,1700.86,1681.6,1693.07
1991-02-21,1707.13,1721.96,1694.38,1709.72
1991-02-22,1717.98,1720.84,1710.13,1716.88
1991-02-25,1741.78,1751.11,1739.26,1745.17
1991-02-26,1736.6,1736.6,1707.76,1712.31
1991-02-27,1697.31,1732.66,1695.77,1731.02
1991-02-28,1751.24,1761.96,1744.06,1759.79
1991-03-01,1745.81,1755.24,1732.86,1746.79
1991-03-04,1750.35,1768.35,1742.36,1766.74
1991-03-05,1772.38,1800.63,1771.66,1800.63
1991-03-06,1826.25,1848.46,1811.92,1821.01
1991-03-07,1809.18,1837.0,1805.77,1831.85
1991-03-08,1843.1,1855.77,1822.82,1828.14
1991-03-11,1821.64,1829.13,1792.65,1796.7
1991-03-12,1797.91,1810.09,1782.64,1795.48
1991-03-13,1782.9,1787.23,1772.33,1781.17
1991-03-14,1795.34,1818.07,1795.34,1816.81
1991-03-15,1820.94,1823.46,1793.14,1800.49
1991-03-18,1783.52,1788.36,1769.99,1777.91
1991-03-19,1762.77,1775.13,1734.66,1740.97
1991-03-20,1726.41,1759.17,1726.41,1752.22
1991-03-21,1775.67,1779.16,1767.65,1771.32
1991-03-22,1768.16,1774.59,1760.18,1772.14
1991-03-25,1769.77,1779.11,1757.35,1773.55
1991-03-26,1767.62,1778.99,1766.95,1775.09
1991-03-27,1787.13,1801.13,1783.26,1797.06
1991-03-28,1798.1,1819.9,1794.26,1816.36
1991-04-02,1815.63,1831.46,1815.58,1827.1
1991-04-03,1845.64,1855.95,1844.85,1851.89
1991-04-04,1846.2,1859.28,1831.49,1836.21
1991-04-05,1835.63,1859.32,1835.42,1851.71
1991-04-08,1845.64,1851.51,1840.47,1847.57
1991-04-09,1851.18,1856.29,1843.14,1845.96
1991-04-10,1830.73,1830.73,1812.5,1816.92
1991-04-11,1815.17,1828.01,1806.31,1825.6
1991-04-12,1822.2,1837.64,1814.35,1821.43
1991-04-15,1822.72,1832.72,1820.24,1822.35
1991-04-16,1820.54,1821.43,1800.17,1802.91
1991-04-17,1811.64,1830.81,1810.38,1829.45
1991-04-18,1835.78,1839.91,1809.7,1815.74
1991-04-19,1798.19,1802.96,1787.28,1791.12
1991-04-22,1775.48,1778.31,1761.96,1767.2
1991-04-23,1777.95,1794.3,1772.1,1781.83
1991-04-24,1782.12,1784.52,1771.5,1782.03
1991-04-25,1778.01,1786.52,1774.37,1777.01
1991-04-26,1774.3,1788.47,1770.83,1774.67
1991-04-29,1783.34,1801.62,1782.43,1797.35
1991-04-30,1792.72,1792.72,1772.51,1779.18
1991-05-02,1793.19,1826.67,1786.77,1824.23
1991-05-03,1820.92,1833.84,1820.09,1832.31
1991-05-06,1831.0,1832.35,1816.58,1828.77
1991-05-07,1822.56,1831.37,1821.15,1830.18
1991-05-10,1838.85,1852.54,1838.57,1850.27
1991-05-13,1833.86,1842.78,1832.72,1834.45
1991-05-14,1831.84,1833.06,1799.0,1805.57
1991-05-15,1793.45,1806.52,1785.47,1802.63
1991-05-16,1806.48,1829.01,1806.17,1826.31
1991-05-17,1835.57,1838.15,1822.14,1826.96
1991-05-21,1826.51,1834.38,1819.7,1833.09
1991-05-22,1837.76,1846.07,1829.27,1831.13
1991-05-23,1820.34,1825.95,1812.39,1813.71
1991-05-24,1821.13,1821.13,1803.15,1804.83
1991-05-27,1798.51,1804.44,1791.96,1801.52
1991-05-28,1806.78,1810.9,1794.06,1807.81
1991-05-29,1823.7,1830.54,1816.8,1825.16
1991-05-30,1826.62,1838.4,1823.79,1837.09
1991-05-31,1847.99,1864.36,1844.99,1861.78
1991-06-03,1864.46,1877.87,1861.62,1865.66
1991-06-04,1859.74,1859.74,1845.54,1851.29
1991-06-05,1857.56,1870.24,1856.53,1862.92
1991-06-06,1860.06,1877.14,1858.55,1863.92
1991-06-07,1863.76,1863.76,1850.33,1852.51
1991-06-10,1840.53,1848.42,1840.53,1846.25
1991-06-11,1851.85,1876.85,1851.47,1874.81
1991-06-12,1869.83,1873.93,1846.91,1849.11
1991-06-13,1844.31,1851.26,1834.1,1847.24
1991-06-14,1852.39,1860.61,1842.68,1858.17
1991-06-17,1861.43,1861.43,1837.28,1844.85
1991-06-18,1824.54,1832.56,1819.19,1830.63
1991-06-19,1816.75,1818.57,1794.31,1798.19
1991-06-20,1799.69,1801.85,1784.43,1793.65
1991-06-21,1802.29,1815.61,1801.8,1806.63
1991-06-24,1794.74,1795.82,1773.41,1775.63
1991-06-25,1768.71,1788.42,1767.87,1775.53
1991-06-26,1779.43,1783.43,1756.3,1760.52
1991-06-27,1765.03,1775.57,1757.28,1767.99
1991-06-28,1764.59,1767.83,1734.45,1747.62
1991-07-01,1767.72,1772.86,1761.24,1772.81
1991-07-02,1761.86,1761.86,1743.92,1750.47
1991-07-03,1733.07,1739.71,1713.91,1718.02
1991-07-04,1726.14,1734.36,1704.8,1708.05
1991-07-05,1705.19,1723.14,1697.08,1723.14
1991-07-08,1709.01,1715.46,1697.55,1714.3
1991-07-09,1732.28,1735.71,1722.94,1734.45
1991-07-10,1736.43,1757.38,1734.87,1757.38
1991-07-11,1755.13,1763.68,1747.96,1754.03
