date,open,high,low,close
1998-01-01,289.1,289.1,289.1,289.1
1998-01-02,288.3,288.3,288.3,288.3
1998-01-03,288.8,288.8,288.8,288.8
1998-01-04,288.8,288.8,288.8,288.8
1998-01-05,283.9,283.9,283.9,283.9
1998-01-06,282.2,282.2,282.2,282.2
1998-01-07,282.7,282.7,282.7,282.7
1998-01-08,281.35,281.35,281.35,281.35
1998-01-09,279.7,279.7,279.7,279.7
1998-01-10,279.5,279.5,279.5,279.5
1998-01-11,278.95,278.95,278.95,278.95
1998-01-12,278.9,278.9,278.9,278.9
1998-01-13,280.8,280.8,280.8,280.8
1998-01-14,283.7,283.7,283.7,283.7
1998-01-15,283.9,283.9,283.9,283.9
1998-01-16,289.9,289.9,289.9,289.9
1998-01-17,291.15,291.15,291.15,291.15
1998-01-18,291.0,291.0,291.0,291.0
1998-01-19,287.8,287.8,287.8,287.8
1998-01-20,288.9,288.9,288.9,288.9
1998-01-21,291.625,291.625,291.625,291.625
1998-01-22,293.8,293.8,293.8,293.8
1998-01-23,297.0,297.0,297.0,297.0
1998-01-24,299.0,299.0,299.0,299.0
1998-01-25,299.0,299.0,299.0,299.0
1998-01-26,300.0,300.0,300.0,300.0
1998-01-27,299.8,299.8,299.8,299.8
1998-01-28,300.3,300.3,300.3,300.3
1998-01-29,303.6,303.6,303.6,303.6
1998-01-30,302.6,302.6,302.6,302.6
1998-01-31,302.7,302.7,302.7,302.7
1998-02-01,302.5,302.5,302.5,302.5
1998-02-02,302.7,302.7,302.7,302.7
1998-02-03,298.25,298.25,298.25,298.25
1998-02-04,297.75,297.75,297.75,297.75
1998-02-05,298.9,298.9,298.9,298.9
1998-02-06,299.1,299.1,299.1,299.1
1998-02-07,298.75,298.75,298.75,298.75
1998-02-08,298.75,298.75,298.75,298.75
1998-02-09,300.35,300.35,300.35,300.35
1998-02-10,300.3,300.3,300.3,300.3
1998-02-11,300.0,300.0,300.0,300.0
1998-02-12,299.9,299.9,299.9,299.9
1998-02-13,299.3,299.3,299.3,299.3
1998-02-14,300.5,300.5,300.5,300.5
1998-02-15,299.8,299.8,299.8,299.8
1998-02-16,299.1,299.1,299.1,299.1
1998-02-17,299.2,299.2,299.2,299.2
1998-02-18,298.0,298.0,298.0,298.0
1998-02-19,298.55,298.55,298.55,298.55
1998-02-20,297.575,297.575,297.575,297.575
1998-02-21,297.5,297.5,297.5,297.5
1998-02-22,297.5,297.5,297.5,297.5
1998-02-23,293.6,293.6,293.6,293.6
1998-02-24,291.9,291.9,291.9,291.9
1998-02-25,292.3,292.3,292.3,292.3
1998-02-26,293.3,293.3,293.3,293.3
1998-02-27,298.5,298.5,298.5,298.5
1998-02-28,299.5,299.5,299.5,299.5
1998-03-01,299.5,299.5,299.5,299.5
1998-03-02,299.4,299.4,299.4,299.4
1998-03-03,297.5,297.5,297.5,297.5
1998-03-04,296.8,296.8,296.8,296.8
1998-03-05,294.5,294.5,294.5,294.5
1998-03-06,294.6,294.6,294.6,294.6
1998-03-07,294.65,294.65,294.65,294.65
1998-03-08,294.65,294.65,294.65,294.65
1998-03-09,294.6,294.6,294.6,294.6
1998-03-10,295.1,295.1,295.1,295.1
1998-03-11,294.7,294.7,294.7,294.7
1998-03-12,294.4,294.4,294.4,294.4
1998-03-13,295.2,295.2,295.2,295.2
1998-03-14,295.6,295.6,295.6,295.6
1998-03-15,295.5,295.5,295.5,295.5
1998-03-16,294.55,294.55,294.55,294.55
1998-03-17,294.1,294.1,294.1,294.1
1998-03-18,290.8,290.8,290.8,290.8
1998-03-19,292.0,292.0,292.0,292.0
1998-03-20,292.2,292.2,292.2,292.2
1998-03-21,292.0,292.0,292.0,292.0
1998-03-22,292.0,292.0,292.0,292.0
1998-03-23,293.95,293.95,293.95,293.95
1998-03-24,300.6,300.6,300.6,300.6
1998-03-25,299.2,299.2,299.2,299.2
1998-03-26,300.2,300.2,300.2,300.2
1998-03-27,303.1,303.1,303.1,303.1
1998-03-28,302.9,302.9,302.9,302.9
1998-03-29,303.0,303.0,303.0,303.0
1998-03-30,302.3,302.3,302.3,302.3
1998-03-31,301.35,301.35,301.35,301.35
1998-04-01,300.4,300.4,300.4,300.4
1998-04-02,302.4,302.4,302.4,302.4
1998-04-03,306.3,306.3,306.3,306.3
1998-04-04,308.45,308.45,308.45,308.45
1998-04-05,308.4,308.4,308.4,308.4
1998-04-06,310.8,310.8,310.8,310.8
1998-04-07,308.3,308.3,308.3,308.3
1998-04-08,309.2,309.2,309.2,309.2
1998-04-09,308.8,308.8,308.8,308.8
1998-04-10,311.25,311.25,311.25,311.25
1998-04-11,311.25,311.25,311.25,311.25
1998-04-12,311.25,311.25,311.25,311.25
1998-04-13,310.9,310.9,310.9,310.9
1998-04-14,309.8,309.8,309.8,309.8
1998-04-15,307.8,307.8,307.8,307.8
1998-04-16,306.9,306.9,306.9,306.9
1998-04-17,308.0,308.0,308.0,308.0
1998-04-18,308.0,308.0,308.0,308.0
1998-04-19,308.0,308.0,308.0,308.0
1998-04-20,307.9,307.9,307.9,307.9
1998-04-21,309.5,309.5,309.5,309.5
1998-04-22,313.0,313.0,313.0,313.0
1998-04-23,313.9,313.9,313.9,313.9
1998-04-24,313.1,313.1,313.1,313.1
1998-04-25,312.9,312.9,312.9,312.9
1998-04-26,312.9,312.9,312.9,312.9
1998-04-27,310.7,310.7,310.7,310.7
1998-04-28,308.3,308.3,308.3,308.3
1998-04-29,309.9,309.9,309.9,309.9
1998-04-30,310.5,310.5,310.5,310.5
1998-05-01,306.2,306.2,306.2,306.2
1998-05-02,302.95,302.95,302.95,302.95
1998-05-03,303.225,303.225,303.225,303.225
1998-05-04,304.5,304.5,304.5,304.5
1998-05-05,303.9,303.9,303.9,303.9
1998-05-06,301.2,301.2,301.2,301.2
1998-05-07,298.6,298.6,298.6,298.6
1998-05-08,300.2,300.2,300.2,300.2
1998-05-09,300.05,300.05,300.05,300.05
1998-05-10,299.9,299.9,299.9,299.9
1998-05-11,300.5,300.5,300.5,300.5
1998-05-12,298.7,298.7,298.7,298.7
1998-05-13,298.7,298.7,298.7,298.7
1998-05-14,297.7,297.7,297.7,297.7
1998-05-15,301.5,301.5,301.5,301.5
1998-05-16,301.5,301.5,301.5,301.5
1998-05-17,301.5,301.5,301.5,301.5
1998-05-18,300.1,300.1,300.1,300.1
1998-05-19,299.8,299.8,299.8,299.8
1998-05-20,299.9,299.9,299.9,299.9
1998-05-21,301.1,301.1,301.1,301.1
1998-05-22,300.5,300.5,300.5,300.5
1998-05-23,300.35,300.35,300.35,300.35
1998-05-24,300.4,300.4,300.4,300.4
1998-05-25,299.5,299.5,299.5,299.5
1998-05-26,296.6,296.6,296.6,296.6
1998-05-27,293.6,293.6,293.6,293.6
1998-05-28,294.3,294.3,294.3,294.3
1998-05-29,293.4,293.4,293.4,293.4
1998-05-30,293.2,293.2,293.2,293.2
1998-05-31,293.275,293.275,293.275,293.275
1998-06-01,289.5,289.5,289.5,289.5
1998-06-02,291.4,291.4,291.4,291.4
1998-06-03,292.4,292.4,292.4,292.4
1998-06-04,293.05,293.05,293.05,293.05
1998-06-05,292.2,292.2,292.2,292.2
1998-06-06,291.7,291.7,291.7,291.7
1998-06-07,291.7,291.7,291.7,291.7
1998-06-08,292.5,292.5,292.5,292.5
1998-06-09,295.9,295.9,295.9,295.9
1998-06-10,293.8,293.8,293.8,293.8
1998-06-11,290.3,290.3,290.3,290.3
1998-06-12,286.7,286.7,286.7,286.7
1998-06-13,286.7,286.7,286.7,286.7
1998-06-14,286.3,286.3,286.3,286.3
1998-06-15,285.8,285.8,285.8,285.8
1998-06-16,288.0,288.0,288.0,288.0
1998-06-17,292.0,292.0,292.0,292.0
1998-06-18,293.4,293.4,293.4,293.4
